curvature_1_per_m,moment_kN_m
0.0,0.0
0.002519156542950326,166.94610951999468
0.005035814506278459,333.218373602959
0.007547477788532985,498.4473912125256
0.010051655242146114,662.2754574825327
0.012545863144233112,824.3597924003989
0.015027627660027694,984.3753995100083
0.017494487296510066,1142.017501030969
0.01994399534379402,1297.0035125165116
0.02237372230185168,1449.0745373338682
0.02478125829016892,1597.996377932048
0.027164215437941543,1743.5600762583517
0.02952023025244153,1885.5820091524747
0.03184696596320436,2023.9035756293533
0.034142114839712294,2158.390521399428
0.036403400480274926,2288.9319516960654
0.038628580069836854,2415.4390865780497
0.04081544660447298,2537.843813577049
0.042961831080365276,2656.0970911885533
0.04506560464508977,2770.1672536414285
0.04712468070908007,2880.0382630309155
0.04913701701517342,2985.707949661982
0.051100617664186235,3087.1862756944297
0.05301353509451043,3184.4936512334093
0.054873872013767054,3277.659326139373
0.05667978328060121,3366.7198752524614
0.05842947773475197,3451.7177895930286
0.06012121997358211,3532.7001815148647
0.061753332073305675,3609.71760780692
0.06332419525320619,3682.823011381201
0.06483225148119491,3752.0707794367595
0.06627600501911655,3817.5159138181502
0.06765402390627005,3879.2133076418527
0.06896494137967275,3937.21712108721
0.07020745722965942,3991.5802484767974
0.07138033908947151,4042.353868341558
0.07248242365755785,4089.5870680182024
0.07351261785137397,4133.326534404107
0.07446989989153634,4173.616302748255
0.07535332031525553,4210.4975557416055
0.07616200291804369,4244.008465649413
0.07689514562276203,4274.18407277041
0.07755202127514643,4301.056194088386
0.07813197836502221,4324.653356580825
0.07863444167249264,4345.000750252129
0.0790589128384603,4362.120196554828
0.07940497085891556,4376.030128443837
0.07967227250250171,4386.745578872233
0.07986055265094275,4394.278175080313
0.07996962456199612,4398.636136553131
0.07999938005466964,4399.824275027078
0.0799497896165188,4397.751818208146
0.07982090243291823,4392.3609712746875
0.07961284633827793,4383.6451958468415
0.07932582768925324,4371.5939489957445
0.07896013116007354,4356.1926994400355
0.07851611946019343,4337.422952383154
0.07799423297454589,4315.262285328429
0.0773949893267545,4289.684397873397
0.07671898286573786,4260.659179159459
0.07596688407621545,4228.1527973360335
0.07513943891369947,4192.127816084532
0.07423746806463251,4152.5433439288245
0.0732618661324046,4109.3552227227
0.07221360075005703,4062.5162623345227
0.07109371162055324,4011.976529122206
0.06990330948556822,3957.683696279724
0.0686435750238196,3899.5834645048594
0.06731575768003299,3837.620061645458
0.06592117442570282,3771.736829980001
0.06446120845287825,3701.8769095236453
0.06293730780226918,3627.984025163351
0.061350983927033406,3550.0033844524073
0.0597038101936693,3467.8826914713136
0.057997420321500875,3381.5732802271714
0.056233506762302946,3291.031368563048
0.05441381902167355,3196.219430440644
0.052540161923818766,3097.107680722302
0.05061439382147044,2993.675662217314
0.04863842475271302,2885.913919813654
0.04661421454654681,2773.825741073837
0.044543770879067336,2657.4289368677514
0.04242914728218831,2536.7576296364778
0.040272441106883175,2411.864010978344
0.0380757914429659,2282.8200247265527
0.03584137699747339,2149.718926900139
0.03357141393375478,2012.6766702454152
0.03126815367340983,1871.8330589458585
0.028933880663257562,1727.3526188548756
0.02657091010954915,1579.425130641622
0.024181585681672533,1428.2657777976854
0.021768277187626812,1274.1148686748577
0.019333378223570986,1117.2371016024697
0.016879303799779383,957.9203544804784
0.01440848794535734,796.4739946835235
0.011923381294093979,633.2267210761357
0.009426448653845327,468.5239666967502
0.006920166561859723,302.72490735877744
0.004407020828469246,136.1991371103105
0.0018895040715838235,-30.676914739632117
-0.0006298867555662801,-197.3702261178737
-0.0031486528409884187,-363.3925778633971
-0.005664295992328529,-528.3765986882714
-0.00817432111465809,-691.9668404208497
-0.010676238685188385,-853.8229713409409
-0.013167567222458702,-1013.6225988763297
-0.015645835747548374,-1171.0636689097487
-0.0181085862348724,-1325.8664055777774
-0.020553376050129534,-1477.7747724948554
-0.022977780372984497,-1626.557452898441
-0.02537939460208219,-1772.008361488386
-0.02775583674000759,-1913.946714086196
-0.030104749755826832,-2052.2166922164824
-0.03242380392286527,-2186.686748056424
-0.034710699129404644,-2317.2486008396922
-0.036963167160007124,-2443.8159788326743
-0.039178973945203394,-2566.3231616494004
-0.04135592177731405,-2684.723376259131
-0.04349185149020578,-2798.987096946965
-0.04558464460082129,-2909.100295117034
-0.047632225410358,-3015.0626795771354
-0.04963256306301226,-3116.8859621824245
-0.05158367356024681,-3214.5921777673257
-0.05348362172858354,-3308.212081429118
-0.05533052313897027,-3397.783640654814
-0.0571225459758173,-3483.3506346594377
-0.05885791285385053,-3564.961368730393
-0.06053490258097862,-3642.667507404872
-0.06215185186542623,-3716.5230269629087
-0.06370715696543952,-3786.583284985017
-0.0651992752799285,-3852.9042025658764
-0.06662672687846759,-3915.5415531441113
-0.06798809596913802,-3974.5503507441445
-0.06928203230275508,-4029.9843296660692
-0.07050725251208836,-4081.8955072403955
-0.07166254138474605,-4130.3338211254395
-0.07274675306846146,-4175.3468327101245
-0.07375881220758566,-4216.979488443383
-0.07469771500965935,-4255.2739312994645
-0.07556253024100633,-4290.269355068593
-0.07635240015036059,-4322.001894703487
-0.07706654131961133,-4350.504546529121
